"length","sex","immature","mature"
11,"F",3,0
12,"F",5,0
12,"M",4,0
13,"F",22,0
13,"M",16,3
14,"F",27,0
14,"M",18,3
15,"F",37,1
15,"M",23,4
16,"F",42,0
16,"M",29,5
17,"F",48,0
17,"M",25,8
18,"F",47,0
18,"M",32,18
19,"F",36,4
19,"M",23,34
20,"F",33,8
20,"M",19,36
21,"F",50,10
21,"M",11,42
22,"F",24,25
22,"M",10,55
23,"F",23,24
23,"M",13,54
24,"F",14,28
24,"M",10,52
25,"F",12,45
25,"M",1,44
26,"F",8,43
26,"M",4,49
27,"F",12,52
27,"M",1,46
28,"F",4,56
28,"M",4,54
29,"F",4,58
29,"M",2,45
30,"F",1,57
30,"M",1,48
31,"F",2,66
31,"M",0,48
32,"F",3,63
32,"M",0,44
33,"F",1,76
33,"M",0,30
34,"F",1,67
34,"M",0,32
35,"F",2,63
35,"M",0,23
36,"F",0,54
36,"M",0,27
37,"F",0,55
37,"M",1,26
38,"F",1,41
38,"M",0,20
39,"F",0,36
39,"M",0,21
40,"F",0,36
40,"M",0,13
41,"F",0,34
41,"M",0,12
42,"F",0,24
42,"M",0,8
43,"F",0,26
43,"M",0,13
44,"F",0,22
44,"M",0,5
45,"F",0,17
45,"M",0,5
46,"F",0,17
46,"M",0,7
47,"F",0,19
47,"M",0,1
48,"F",0,7
48,"M",0,3
49,"F",0,13
49,"M",0,2
50,"F",0,12
50,"M",0,3
51,"F",0,4
51,"M",0,1
52,"F",0,4
52,"M",0,4
53,"F",0,6
53,"M",0,3
54,"F",0,7
54,"M",0,2
55,"F",0,8
55,"M",0,1
56,"F",0,9
57,"F",0,6
58,"F",0,9
59,"F",0,1
60,"F",0,3
60,"M",0,1
61,"M",0,2
62,"F",0,2
62,"M",0,1
63,"F",0,2
65,"F",0,3
67,"F",0,3
68,"M",0,1
69,"F",0,2
70,"F",0,1
72,"F",0,1
79,"F",0,1
